input_term,term,industry
Charity/non-profit sector,Non-Profit,Non-Profit/Volunteering
Chef,Restaurant,Restaurant/Food Service
Chemical,Pharmaceutical,Pharmaceutical/Bio-tech
Chemical Engineer,Engineering,Engineering/Architecture
Chemical Industry,Manufacturing,Manufacturing/Mechanical
Chemical Manufacturing,Manufacturing,Manufacturing/Mechanical
Chemical Production,Manufacturing,Manufacturing/Mechanical
Chemical distribution,Restaurant Food Service,Restaurant/Food Service
Chemical mfg,Manufacturing,Manufacturing/Mechanical
Chemical/coatings,Manufacturing,Manufacturing/Mechanical
Chemistry,Science,Science/Research
Child Care/Early Childhood Education,Healthcare,Healthcare
Child Nutrition Program,Food Service,Restaurant/Food Service
Child Support Services,Non-Profit Volunteering,Non-Profit/Volunteering
Child Welfare,Human Resources,Human Resources
Child care,Healthcare,Healthcare
Child development research,Education,Education/Training
Child mental health,Healthcare,Healthcare
Childcare,Healthcare,Healthcare
Childcare (corporate office though),Healthcare,Healthcare
Children's Museum,Architecture,Engineering/Architecture
Children's/educational media,Education,Education/Training
Chip design,Architecture,Engineering/Architecture
Chiropractic,Healthcare,Healthcare
Church,Architecture,Engineering/Architecture
Church Minister,Government,Government/Military
Church Work,Non-Profit Volunteering,Non-Profit/Volunteering
Church ministry,Social Community,Social/Community
Church/Religious institute,Social Community,Social/Community
City Government,Government,Government/Military
City Government - Library,Public Sector,Public Sector
City municipality,Government,Government/Military
City planning,Architecture,Engineering/Architecture
Civil Construction,Construction,Construction/Facilities
Civil Engineering,Engineering,Engineering/Architecture
Civil Engineering (Traffic Engineer),Engineering,Engineering/Architecture
Civil Engineering (consulting),Engineering,Engineering/Architecture
Civil Engineering (land development),Engineering,Engineering/Architecture
Civil Materials Testing/NDE,Engineering,Engineering/Architecture
Civil Nuclear,Energy,Oil/Gas/Energy
Civil Service,Personal Service,Personal Service
Civil Service (UK),Personal Service,Personal Service
Civil legal services,Legal,Legal
Civil rights advocacy,Government,Government/Military
Classical Music,Arts,Arts/Entertainment/Publishing
Clean Energy,Energy,Oil/Gas/Energy
Clean Tech,Energy,Oil/Gas/Energy
Clean Technology,Energy,Oil/Gas/Energy
Cleaning,Environmental,Environmental
Cleantech,Energy,Oil/Gas/Energy
Clergy,Legal,Legal
Clinical IT,Healthcare,Healthcare
Clinical Research,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical Research (employer is a university),Research,Science/Research
Clinical Research - Oncology,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical Research Organization,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical Research Trials,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical Research/CRO,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical Social Work,Social,Social/Community
Clinical Trials,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical laboratory testing,Healthcare,Healthcare
Clinical research-pharmaceuticals,Pharmaceutical,Pharmaceutical/Bio-tech
Clinical trial marketing,Pharmaceutical,Pharmaceutical/Bio-tech
Clothing,Sales,Sales
Cloud,Internet,Computer/Internet
Cloud Computing,Computer Internet,Computer/Internet
Cloud Infrastructure,Telecommunications,Telecommunications
Cloud Software,Internet,Computer/Internet
Coaching,Consulting,Upper Management/Consulting
Coal/Energy,Energy,Oil/Gas/Energy
Coatings,Mechanical,Manufacturing/Mechanical
Coding,Computer,Computer/Internet
Coffee,Restaurant Food Service,Restaurant/Food Service
Coffee Retail,Retail,Retail
Coffee Shop,Restaurant,Restaurant/Food Service
Coliving,Real Estate,Real Estate
Collateral Recovery,Customer Service,Customer Service
Collections,Sales,Sales
College,Education,Education/Training
College Admissions,Education,Education/Training
College Athletics,Sport,Sport/Leisure
College Counseling Cebter,Education,Education/Training
College Institution,Education,Education/Training
College and University Fundraising,Education,Education/Training
College communications office,Media,Media
College retail,Retail,Retail
"Colleges, Universities, and Professional Schools (611310)",Education Training,Education/Training
Collegiate retail,Retail,Retail
Commercial Aerospace,Manufacturing,Manufacturing/Mechanical
Commercial Banking,Banking,Banking/Loans
Commercial Construction,Construction,Construction/Facilities
Commercial Insurance,Insurance,Insurance
Commercial Interiors,Construction,Construction/Facilities
Commercial Material Handling,Finance,Accounting/Finance
Commercial Printing,Publishing,Arts/Entertainment/Publishing
Commercial Property Management,Upper Management,Upper Management/Consulting
Commercial Real Eatate ( global firm),Real Estate,Real Estate
Commercial Real Estate,Real Estate,Real Estate
Commercial Real Estate Management,Upper Management,Upper Management/Consulting
Commercial Real Estate Property Management,Upper Management,Upper Management/Consulting
Commercial Roofing,Construction,Construction/Facilities
Commercial Satellite Imagery,Research,Science/Research
Commercial Seafood,Agriculture,Agriculture
Commercial and Industrial Goods,Manufacturing,Manufacturing/Mechanical
Commercial garage doors,Restaurant Food Service,Restaurant/Food Service
Commercial goods,Business,Business/Analyst
Commercial kitchen equipment,Restaurant Food Service,Restaurant/Food Service
Commercial real estate finance,Loans,Banking/Loans
Commerical Real Estate,Real Estate,Real Estate
Commission retail sales,Retail,Retail
Commodities,Oil,Oil/Gas/Energy
Commodities Trading,Oil,Oil/Gas/Energy
Commodity hedging / purchasing,Finance,Accounting/Finance
Communication equipment,Telecommunications,Telecommunications
Communication/Journalism,Media,Media
Communications,Media,Media
Communications - Delivery,Sales,Sales
Communications / PR,PR,Marketing/Advertising/PR
Communications Engineering,Engineering,Engineering/Architecture
Communications Systems,Telecommunications,Telecommunications
Communications and Marketing,Marketing,Marketing/Advertising/PR
Communications and PR,PR,Marketing/Advertising/PR
Communications in Education,Education,Education/Training
Communications software,Upper Management,Upper Management/Consulting
Communications- Marketing,Marketing,Marketing/Advertising/PR
Communications/Media,Media,Media
Communications/Non-Profit,Non-Profit,Non-Profit/Volunteering
Communications/PR,PR,Marketing/Advertising/PR
Communications/Public Relations,PR,Marketing/Advertising/PR
Communications/Publishing,Publishing,Arts/Entertainment/Publishing
Community Association Management,Social Community,Social/Community
Community College,Education,Education/Training
Community Counseling Center,Healthcare,Healthcare
Community Development,Social Community,Social/Community
Community Development Financial Institution (CDFI) -- it's a nonprofit financial institution,Finance,Accounting/Finance
Community Foundation,Social Community,Social/Community
Community Health,Healthcare,Healthcare
Community Management,Social Community,Social/Community
Community Mental Health,Healthcare,Healthcare
Community Mental Health - Research,Healthcare,Healthcare
Community Organizing/Social Justice,Social Community,Social/Community
Community Services,Social Community,Social/Community
Community recreation,Social Community,Social/Community
Compensation,Human Resources,Human Resources
Compliance,Environmental,Environmental
Compliance/Financial Services,Accounting Finance,Accounting/Finance
Components,Administrative,Administrative
Computer,Computer,Computer/Internet
Computer Consultant,Consulting,Upper Management/Consulting
Computer Hardware,Computer,Computer/Internet
Computer Networks,Computer Internet,Computer/Internet
Computer Peripherals,Computer,Computer/Internet
Computer Science,Computer,Computer/Internet
Computer Science/research,Engineering,Engineering/Architecture
Computer Security,Security,Law Enforcement/Security
Computer Software,Computer,Computer/Internet
Computer Software/Technology,Computer,Computer/Internet
Computer Storage Device Manufacturer,Computer,Computer/Internet
Computer Technology,Computer,Computer/Internet
Computer Training,Training,Education/Training
Computer and Electronics,Computer,Computer/Internet
Computer and Tech,Computer,Computer/Internet
Computer consulting and research,Consulting,Upper Management/Consulting
Computer hardware engineering,Computer,Computer/Internet
Computer programming,Computer,Computer/Internet
Computer sales/repair,Computer,Computer/Internet
Computer software medical,Healthcare,Healthcare
Computer storage,Computer,Computer/Internet
Computer/IT services,Consulting,Upper Management/Consulting
Computer/print hardware,Computer,Computer/Internet
Computing,Computer,Computer/Internet
Concert Touring,Travel,Hospitality/Travel
Concert venues,Restaurant,Restaurant/Food Service
Conference production,Upper Management,Upper Management/Consulting
"Conferences, Meetings and Events",Hospitality,Hospitality/Travel
Conglomerate,Business,Business/Analyst
Conservation NGO,Environmental,Environmental
Conservation/zoo/aquarium/museum,Science,Science/Research
Consiltingo,Upper Management,Upper Management/Consulting
Construction,Construction,Construction/Facilities
Construction - Commercial Flooring,Construction,Construction/Facilities
Construction - Oil and Gas,Construction,Construction/Facilities
Construction Consultancy,Construction,Construction/Facilities
Construction Consultation,Construction,Construction/Facilities
Construction Contracting,Construction,Construction/Facilities
Construction Equipment,Construction,Construction/Facilities
Construction Equipment Sales,Construction,Construction/Facilities
Construction Highway and Utility,Construction,Construction/Facilities
Construction Industry,Construction,Construction/Facilities
Construction Machinery,Construction,Construction/Facilities
Construction Management,Construction,Construction/Facilities
Construction Management Engineering,Construction,Construction/Facilities
Construction Manufacturing,Construction,Construction/Facilities
Construction Materials,Construction,Construction/Facilities
Construction QA/QC,Construction,Construction/Facilities
Construction Sales,Construction,Construction/Facilities
Construction Supplies,Construction,Construction/Facilities
Construction and Development,Construction,Construction/Facilities
Construction and Industrial Sector,Construction,Construction/Facilities
Construction and engineering,Construction,Construction/Facilities
Construction education,Construction,Construction/Facilities
Construction maintenance,Construction,Construction/Facilities
Construction material testing,Construction,Construction/Facilities
Construction technology,Construction,Construction/Facilities
"Construction, remodeling",Construction,Construction/Facilities
Construction- road/highway work,Construction,Construction/Facilities
Construction/ advertising,Construction,Construction/Facilities
Construction/Aggregates,Construction,Construction/Facilities
Construction/Engineering/Architecture,Engineering Architecture,Engineering/Architecture
Construction/Environmental Consulting,Environmental,Environmental
Construction/Land Development,Construction,Construction/Facilities
Construction/engineering,Construction,Construction/Facilities
Consultancy,Consulting,Upper Management/Consulting
Consultant,Consulting,Upper Management/Consulting
Consultant - Energy Industry,Energy,Oil/Gas/Energy
Consulting,Consulting,Upper Management/Consulting
Consulting (Data Analysis),Consulting,Upper Management/Consulting
Consulting (Financial Crimes Compliance @ Financial Institutions),Accounting Finance,Accounting/Finance
Consulting (Public Sector),Public Sector,Public Sector
Consulting (Public Sector/Nonprofit),Non-Profit,Non-Profit/Volunteering
Consulting (Technology Industry),Consulting,Upper Management/Consulting
Consulting (nonprofits),Non-Profit,Non-Profit/Volunteering
Consulting - Financial Services,Consulting,Upper Management/Consulting
Consulting - Internal Audit,Consulting,Upper Management/Consulting
Consulting / Tech,Consulting,Upper Management/Consulting
Consulting Professional Services,Consulting,Upper Management/Consulting
Consulting Services,Consulting,Upper Management/Consulting
"Consulting, research, analysis",Consulting,Upper Management/Consulting
Consulting/Economics,Upper Management Consulting,Upper Management/Consulting
Consulting/Tech,Consulting,Upper Management/Consulting
Consumer,Energy,Oil/Gas/Energy
Consumer Electronics,Computer,Computer/Internet
Consumer Electronics Accessories,Retail,Retail
Consumer Goods,Retail,Retail
Consumer Goods & Services,Retail,Retail
Consumer Goods - Durable,Finance,Accounting/Finance
Consumer Hardware,Marketing,Marketing/Advertising/PR
Consumer Lending,Loans,Banking/Loans
Consumer Packaged Goods,Retail,Retail
Consumer Packaged Goods/OTC Pharmaceuticals,Pharmaceutical,Pharmaceutical/Bio-tech
Consumer Product Goods,Retail,Retail
Consumer Products,Marketing,Marketing/Advertising/PR
Consumer Products & Software,Customer Service,Customer Service
Consumer Products Manufacturing,Manufacturing,Manufacturing/Mechanical
Consumer Services,Business,Business/Analyst
Consumer Software & Hardware,Marketing,Marketing/Advertising/PR
Consumer Technology,Retail,Retail
Consumer and Professional Electronics,Retail,Retail
Consumer appliances,Real Estate,Real Estate
Consumer engineering,Engineering,Engineering/Architecture
Consumer finance,Finance,Accounting/Finance
Consumer product design,Marketing,Marketing/Advertising/PR
Consumer products personal care,Healthcare,Healthcare
"Consumer products, ecommerce retail",Retail,Retail
Consumer retail / eCommerce warehousing,Logistics,Transportation/Logistics
Consumer tech,Media,Media
Consumer/Pharmaceutical Sales,Pharmaceutical,Pharmaceutical/Bio-tech
Consumer/Pro Audio,Computer,Computer/Internet
Contact Center,Customer Service,Customer Service
